Acropora,Pavona,Favids,Montipora,Lithopyllon,Porites,Goniopora,Platygyra,Hydnophora,Cyphastrea,Echinophyllia,Turbinaria ,Psammacora,Leptastrea
0.0,7.1,7.1,0.0,0.0,7.1,7.1,64.3,0.0,7.1,0.0,0.0,0.0,0.0
0.0,0.0,36.1,0.0,0.0,2.8,0.0,55.6,0.0,2.8,2.8,0.0,0.0,0.0
0.0,53.8,15.4,0.0,0.0,7.7,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,95.9,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,37.3,0.0,2.0,5.9,2.0,33.3,9.8,5.9,3.9,0.0,0.0,0.0
0.0,9.6,19.2,0.0,1.9,9.6,50.0,1.9,3.8,3.8,0.0,0.0,0.0,0.0
0.0,17.6,23.0,0.0,1.4,4.1,4.1,36.5,4.1,0.0,0.0,2.7,0.0,4.1
0.0,0.0,31.9,0.0,0.0,2.9,8.7,43.5,4.3,1.4,0.0,0.0,0.0,4.3
43.9,0.0,17.1,19.5,0.0,4.9,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0
24.5,0.0,6.1,32.7,0.0,8.2,0.0,18.4,8.2,0.0,0.0,0.0,0.0,0.0
5.9,0.0,0.0,23.5,0.0,5.9,0.0,0.0,0.0,64.7,0.0,0.0,0.0,0.0
0.0,0.0,6.7,13.3,0.0,16.7,0.0,0.0,0.0,63.3,0.0,0.0,0.0,0.0
3.4,0.0,16.9,1.7,0.0,5.1,0.0,33.9,10.2,6.8,0.0,3.4,1.7,15.3
5.4,0.0,24.3,8.1,0.0,5.4,0.0,13.5,2.7,5.4,0.0,0.0,0.0,35.1
0.0,0.0,44.4,0.0,0.0,0.0,22.2,11.1,0.0,22.2,0.0,0.0,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,16.7,0.0,0.0,33.3,0.0,0.0,0.0,16.7,0.0,0.0,0.0,33.3
0.0,0.0,18.2,0.0,0.0,18.2,0.0,18.2,0.0,18.2,0.0,27.3,0.0,0.0
0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,26.7,0.0,0.0,0.0,0.0,26.7,0.0,13.3,0.0,0.0,13.3,20.0
0.0,0.0,19.0,0.0,0.0,9.5,0.0,14.3,0.0,28.6,0.0,0.0,28.6,0.0
0.0,0.0,18.2,9.1,0.0,27.3,0.0,0.0,0.0,27.3,0.0,0.0,18.2,0.0
0.0,0.0,0.0,26.7,0.0,20.0,0.0,0.0,0.0,53.3,0.0,0.0,0.0,0.0
0.0,0.0,14.3,0.0,0.0,28.6,0.0,0.0,0.0,14.3,0.0,0.0,42.9,0.0
0.0,0.0,33.3,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
0.0,0.0,0.0,0.0,0.0,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.8
0.0,0.0,5.9,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,5.9,64.7
4.3,0.0,39.1,0.0,0.0,0.0,0.0,52.2,0.0,4.3,0.0,0.0,0.0,0.0
20.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,50.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,25.0,0.0,33.3,0.0,0.0,0.0,8.3,0.0,0.0,33.3,0.0
